,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
3047,hide unhide layer,marking options,different,0.310628682,different
2395,correct user intended position tools,invent games,different,0.310605377,different
5389,export,zooming capabilities,different,0.310557246,different
2664,upload mapping jenkins release builds,line tools,different,0.310298592,different
5391,center button transform tool,zooming capabilities,different,0.310268819,different
3307,reuse drawingsurface pipette activity,move image,different,0.310254008,different
1454,dynamic color scheme,drawing tools like brush,different,0.310249001,different
1127,build paintroid pull requests catroid develop jenkins,creating a option,different,0.310171425,different
170,close transform tool options clicking apply,adding text,different,0.310132563,different
3615,feedback menu entry overflow menu,output resolution,different,0.310117871,different
987,save dialog,converting photos from mb,different,0.310116917,different
3318,share feature,move text,different,0.310113668,different
2560,save temporary copies automatically,liked line,different,0.30996722,different
2641,save temporary copies automatically,line tools,different,0.309701085,different
3334,reuse drawingsurface pipette activity,move text,different,0.309675306,different
3309,upload mapping jenkins release builds,move image,different,0.309622705,different
2921,save dialog,magic wand,different,0.309620917,different
935,save dialog,colour picker,different,0.309540212,different
1124,center button transform tool,creating a option,different,0.309394181,different
78,save dialog,add graph,different,0.309340149,different
2682,confirm tool application selecting tool,load photos,different,0.309202015,different
1440,checkmark confirm tool applications,drawing tools like brush,different,0.309078097,different
3957,paste tool,put titles,different,0.309068322,different
3829,spray tool,pictures shots,different,0.309055716,different
331,close transform tool options clicking apply,applying transparency,different,0.308950394,different
827,hint change default settings tools,color fill tool,different,0.30877775,different
4509,reuse drawingsurface pipette activity,selection tool,different,0.308742344,different
2690,correct user intended position tools,load photos,different,0.308567911,different
316,hint change default settings tools,applying a color,different,0.308449656,different
3437,confirm tool application selecting tool,new image option,different,0.308239937,different
343,checkmark confirm tool applications,applying transparency,different,0.308081388,different
3136,copy paste symbols stamp tool selection application,miss select,different,0.308070123,different
1575,checkmark confirm tool applications,editing large images,different,0.308040112,different
2676,hint change default settings tools,load photos,different,0.307912946,different
4794,save dialog,stop camera,different,0.307879865,different
5312,github crowdin integration,wide range,different,0.307871401,different
2576,confirm tool application selecting tool,liked line,different,0.307812333,different
4771,center button transform tool,spray tool,different,0.3077856,different
442,save load pocketpaint format,basic components,different,0.307746768,different
441,save load pocketpaint format,basic components,different,0.307746768,different
596,image file size editing,changed language,different,0.307687879,different
614,save dialog,changing cartoon characters,different,0.307666928,different
3464,confirm tool application selecting tool,new update,different,0.307497561,different
4765,checkmark confirm tool applications,spray tool,different,0.307495415,different
3019,save load pocketpaint format,many tools,different,0.307490587,different
3018,save load pocketpaint format,many tools,different,0.307490587,different
3470,image file size editing,new update,different,0.307437032,different
5263,correct user intended position tools,version ads,different,0.307395458,different
1583,github crowdin integration,editing large images,different,0.307385027,different
3434,save dialog,new image option,different,0.306993663,different
390,share feature,available font,different,0.306991637,different
5009,copy paste symbols stamp tool selection application,text to pictures,different,0.306931615,different
2474,image file size editing,landscape mode,different,0.306910992,different
742,feedback menu entry overflow menu,code games,different,0.306889415,different
803,save dialog,color drawings,different,0.306785703,different
105,save dialog,add more colour,different,0.306742758,different
1061,insert image catrobat media gallery,create graphics,different,0.306703418,different
3388,reuse drawingsurface pipette activity,multi touch interface,different,0.306661844,different
902,spray tool,colour fill option,different,0.306656599,different
689,spray tool,circle tools,different,0.306637824,different
4217,build paintroid pull requests catroid develop jenkins,resize tool,different,0.306477994,different
3015,close transform tool options clicking apply,many tools,different,0.306400687,different
1093,save dialog,create pictures,different,0.3062464,different
609,insert image catrobat media gallery,changing cartoon characters,different,0.306162953,different
4202,share feature,resize tool,different,0.306118488,different
2679,save dialog,load photos,different,0.305992484,different
855,copy paste symbols stamp tool selection application,color grid,different,0.305941522,different
4672,dynamic color scheme,simple draw offer,different,0.305898309,different
4992,image file size editing,text outline,different,0.305858374,different
114,image file size editing,add more colour,different,0.305831343,different
93,paste tool,add more colour,different,0.305741161,different
2956,reuse drawingsurface pipette activity,main issue tools,different,0.305710554,different
1733,auto crop icon,fill tools,different,0.305678606,different
1292,dynamic color scheme,dedicated pan,different,0.305568963,different
2376,share feature,invent games,different,0.305545539,different
480,better compression research implementation,blur tool,different,0.305423945,different
4450,save dialog,see this drive,different,0.3053087,different
3299,save dialog,move image,different,0.305292428,different
99,spray tool,add more colour,different,0.305256009,different
3271,copy paste symbols stamp tool selection application,move bits,different,0.304949045,different
4167,upload mapping jenkins release builds,resize picture,different,0.304812044,different
4460,upload mapping jenkins release builds,see this drive,different,0.304767698,different
4436,close transform tool options clicking apply,see this drive,different,0.304729879,different
3586,hide unhide layer,outline an addition,different,0.304647744,different
76,checkmark confirm tool applications,add graph,different,0.304562122,different
5059,insert image catrobat media gallery,toggle move option,different,0.304419577,different
2441,confirm tool application selecting tool,landscape fact,different,0.304418176,different
4905,confirm tool application selecting tool,tell resolution,different,0.304412335,different
3367,save temporary copies automatically,multi touch interface,different,0.304405212,different
267,export,alpha transparencies,different,0.304401726,different
4287,hint change default settings tools,rotation controls,different,0.3042759,different
3488,save dialog,new update sucks,different,0.30424577,different
1189,save load pocketpaint format,curve tool,different,0.304188997,different
1188,save load pocketpaint format,curve tool,different,0.304188997,different
3146,image file size editing,miss select,different,0.303994119,different
4353,correct user intended position tools,save your favourite,different,0.30395788,different
4303,close transform tool options clicking apply,satisfy my experience,different,0.303929389,different
46,insert image catrobat media gallery,add a blur,different,0.303918898,different
4969,close transform tool options clicking apply,text outline,different,0.303841412,different
1015,confirm tool application selecting tool,copy paste,different,0.303809911,different
2934,close transform tool options clicking apply,main issue tools,different,0.303761989,different
2022,paste tool,gauging smaller sizes,different,0.303680301,different
4240,confirm tool application selecting tool,resizing entire image,different,0.303631276,different
2581,reuse drawingsurface pipette activity,liked line,different,0.303548634,different
4477,save dialog,select transparent on colors,different,0.3035402,different
423,checkmark confirm tool applications,basic animation package,different,0.30342856,different
3333,build paintroid pull requests catroid develop jenkins,move text,different,0.303243816,different
939,center button transform tool,colour picker,different,0.302992254,different
2189,feedback menu entry overflow menu,gradient fill,different,0.302814126,different
3733,github crowdin integration,paste images,different,0.302740127,different
4455,fastlane support huawei store,see this drive,different,0.302643538,different
999,dynamic color scheme,converting photos from mb,different,0.30263868,different
837,build paintroid pull requests catroid develop jenkins,color fill tool,different,0.302625537,different
5146,export,type text,different,0.302407533,different
1058,share feature,create graphics,different,0.302391291,different
3896,reuse drawingsurface pipette activity,pixel art,different,0.302314818,different
937,export,colour picker,different,0.302205384,different
681,close transform tool options clicking apply,circle tools,different,0.30216983,different
4459,image file size editing,see this drive,different,0.301865518,different
354,image file size editing,applying transparency,different,0.301844776,different
185,better compression research implementation,adding text,different,0.301836312,different
4116,dynamic color scheme,removes exif data,different,0.301809728,different
4571,save load pocketpaint format,shrink an image,different,0.301739395,different
4570,save load pocketpaint format,shrink an image,different,0.301739395,different
2388,center button transform tool,invent games,different,0.301725954,different
1402,save temporary copies automatically,drawing tool for kids,different,0.30151698,different
4216,github crowdin integration,resize tool,different,0.301432967,different
3523,reuse drawingsurface pipette activity,newest update,different,0.301392555,different
4299,image file size editing,rotation controls,different,0.301343381,different
4465,paste tool,select transparent on colors,different,0.301329821,different
3915,save dialog,pocket code,different,0.301281959,different
1585,reuse drawingsurface pipette activity,editing large images,different,0.301275045,different
3882,spray tool,pixel art,different,0.301245868,different
2852,dynamic color scheme,lower resolution,different,0.301205695,different
52,better compression research implementation,add a blur,different,0.30117923,different
2361,center button transform tool,intuitive layout,different,0.301067263,different
584,hint change default settings tools,changed language,different,0.301001608,different
178,spray tool,adding text,different,0.300908953,different
140,image file size editing,add pen tool,different,0.300896168,different
2434,auto crop icon,landscape fact,different,0.30083102,different
3873,correct user intended position tools,pictures with transparency,different,0.300692737,different
5221,auto crop icon,user interface,different,0.300619304,different
4657,hint change default settings tools,simple draw offer,different,0.300544679,different
5282,confirm tool application selecting tool,white worked,different,0.300502062,different
5238,close transform tool options clicking apply,version ads,different,0.300391912,different
1094,better compression research implementation,create pictures,different,0.300356179,different
4463,close transform tool options clicking apply,select transparent on colors,different,0.30034551,different
4962,github crowdin integration,text insert,different,0.300295383,different
4301,correct user intended position tools,rotation controls,different,0.300287664,different
1347,close transform tool options clicking apply,draw frames,different,0.300284863,different
763,save temporary copies automatically,code to games,different,0.300222695,different
5315,image file size editing,wide range,different,0.300210744,different
2250,save dialog,image editing,different,0.300107628,different
1926,save dialog,friendliness range,different,0.300077796,different
346,better compression research implementation,applying transparency,different,0.299932063,different
1008,insert image catrobat media gallery,copy paste,different,0.299703628,different
1957,center button transform tool,full screen,different,0.299655259,different
634,feedback menu entry overflow menu,chat thing,different,0.299563497,different
2711,github crowdin integration,load pictures,different,0.299546957,different
1611,reuse drawingsurface pipette activity,enter texts,different,0.299528301,different
2894,save dialog,made reviews,different,0.299380004,different
422,hint change default settings tools,basic animation package,different,0.299356699,different
764,paste tool,code to games,different,0.2993083,different
4894,share feature,tell resolution,different,0.299304843,different
4767,save dialog,spray tool,different,0.299260437,different
4010,save temporary copies automatically,rectangle stamp,different,0.299229383,different
1884,dynamic color scheme,free and many,different,0.299218267,different
5253,better compression research implementation,version ads,different,0.299208939,different
4272,image file size editing,respect landscape orientation,different,0.299143493,different
4910,reuse drawingsurface pipette activity,tell resolution,different,0.299095452,different
1085,share feature,create pictures,different,0.29906106,different
2231,reuse drawingsurface pipette activity,ground color change,different,0.299056172,different
4415,share feature,see every pixel,different,0.298953921,different
2654,save dialog,line tools,different,0.298863113,different
595,reuse drawingsurface pipette activity,changed language,different,0.298794508,different
4070,share feature,reflect chosen colour,different,0.298777461,different
3537,insert image catrobat media gallery,offence to creators,different,0.298724622,different
2280,center button transform tool,image edition,different,0.298707128,different
2276,save dialog,image edition,different,0.298696727,different
520,save temporary copies automatically,change canvas size,different,0.298214197,different
53,export,add a blur,different,0.298166811,different
1815,hint change default settings tools,find a place,different,0.298055857,different
2953,fastlane support huawei store,main issue tools,different,0.298021287,different
3273,better compression research implementation,move bits,different,0.297991902,different
2614,save temporary copies automatically,line shapes,different,0.297802448,different
3250,fastlane support huawei store,more updates,different,0.297658026,different
988,better compression research implementation,converting photos from mb,different,0.297632456,different
1424,image file size editing,drawing tool for kids,different,0.297598362,different
3222,center button transform tool,more shapes,different,0.29758662,different
2631,center button transform tool,line shapes,different,0.297568947,different
3302,confirm tool application selecting tool,move image,different,0.297510058,different
2989,save temporary copies automatically,many opportunities,different,0.297463834,different
305,close transform tool options clicking apply,applying a color,different,0.297426313,different
2426,paste tool,landscape fact,different,0.29740566,different
1375,save temporary copies automatically,draw some lines,different,0.297279418,different
3979,upload mapping jenkins release builds,put titles,different,0.297171474,different
3599,center button transform tool,outline an addition,different,0.297081411,different
2079,hide unhide layer,go hang,different,0.296988249,different
1294,save temporary copies automatically,device folder,different,0.296930492,different
2258,reuse drawingsurface pipette activity,image editing,different,0.296913028,different
2453,paste tool,landscape mode,different,0.296911389,different
3328,export,move text,different,0.296865046,different
1318,correct user intended position tools,device folder,different,0.296702653,different
260,insert image catrobat media gallery,alpha transparencies,different,0.296672046,different
1991,correct user intended position tools,future a necessity,different,0.296629906,different
4927,checkmark confirm tool applications,text input option,different,0.296438247,different
5273,spray tool,white worked,different,0.296434641,different
5339,github crowdin integration,wide verity,different,0.296266556,different
3237,share feature,more updates,different,0.296224684,different
1353,share feature,draw frames,different,0.295903832,different
4946,save load pocketpaint format,text insert,different,0.295856684,different
4945,save load pocketpaint format,text insert,different,0.295856684,different
5032,insert image catrobat media gallery,think concept,different,0.295656681,different
2021,save temporary copies automatically,gauging smaller sizes,different,0.295534223,different
3248,confirm tool application selecting tool,more updates,different,0.295344442,different
145,save temporary copies automatically,add transparency,different,0.295313984,different
2232,image file size editing,ground color change,different,0.295311481,different
489,upload mapping jenkins release builds,blur tool,different,0.295299947,different
4859,correct user intended position tools,take small space,different,0.295259386,different
4968,dynamic color scheme,text insert,different,0.29524523,different
2666,dynamic color scheme,line tools,different,0.295205504,different
3556,save temporary copies automatically,original position,different,0.295186877,different
1516,feedback menu entry overflow menu,edit photos of gacha,different,0.295118839,different
4695,reuse drawingsurface pipette activity,small basic animation,different,0.295085907,different
3103,feedback menu entry overflow menu,microsoft computers,different,0.295037687,different
2359,export,intuitive layout,different,0.29497087,different
3364,correct user intended position tools,ms paint,different,0.294873089,different
1018,github crowdin integration,copy paste,different,0.294799924,different
4468,hide unhide layer,select transparent on colors,different,0.294710755,different
3013,correct user intended position tools,many opportunities,different,0.294693559,different
4369,save dialog,screen shots,different,0.294534564,different
825,insert image catrobat media gallery,color fill tool,different,0.294431567,different
644,confirm tool application selecting tool,chat thing,different,0.294374585,different
3744,save load pocketpaint format,paths brushes,different,0.294353753,different
3743,save load pocketpaint format,paths brushes,different,0.294353753,different
1178,github crowdin integration,crop images,different,0.294228077,different
4595,save temporary copies automatically,shrinks image size,different,0.294106603,different
4502,save dialog,selection tool,different,0.294043303,different
2961,close transform tool options clicking apply,manipulator programs,different,0.294029653,different
4556,export,settings option,different,0.294018626,different
2247,hint change default settings tools,image editing,different,0.293930143,different
1239,close transform tool options clicking apply,dead fast,different,0.293798685,different
1500,center button transform tool,dynamic brushes,different,0.293720424,different
4388,share feature,see a grid,different,0.293702602,different
144,close transform tool options clicking apply,add transparency,different,0.293678761,different
1505,image file size editing,dynamic brushes,different,0.293659776,different
1618,paste tool,export my pictures,different,0.293585539,different
4939,upload mapping jenkins release builds,text input option,different,0.293567717,different
1185,close transform tool options clicking apply,curve tool,different,0.293526173,different
3272,save dialog,move bits,different,0.293370217,different
277,dynamic color scheme,alpha transparencies,different,0.293323845,different
1007,spray tool,copy paste,different,0.29324311,different
527,spray tool,change canvas size,different,0.293146014,different
5138,spray tool,type text,different,0.293071568,different
4668,reuse drawingsurface pipette activity,simple draw offer,different,0.293070108,different
932,hint change default settings tools,colour picker,different,0.293049634,different
2498,github crowdin integration,large image,different,0.293013483,different
3784,confirm tool application selecting tool,perfect substitute,different,0.292923152,different
158,save dialog,add transparency,different,0.292921782,different
71,feedback menu entry overflow menu,add graph,different,0.292843968,different
3592,hint change default settings tools,outline an addition,different,0.292804658,different
735,close transform tool options clicking apply,code games,different,0.292751461,different
5298,share feature,wide range,different,0.292427003,different
3662,close transform tool options clicking apply,paint file,different,0.292422712,different
1010,hint change default settings tools,copy paste,different,0.292415202,different
74,auto crop icon,add graph,different,0.292174667,different
1570,feedback menu entry overflow menu,editing large images,different,0.292126179,different
2322,share feature,inport picture,different,0.292058259,different
4290,save dialog,rotation controls,different,0.291973919,different
4392,auto crop icon,see a grid,different,0.291962594,different
3933,hide unhide layer,pocket paint,different,0.291940689,different
3793,dynamic color scheme,perfect substitute,different,0.291921794,different
4970,save temporary copies automatically,text outline,different,0.291903228,different
1710,save dialog,fill tool fills,different,0.291887522,different
4331,paste tool,save your favourite,different,0.291784644,different
4427,center button transform tool,see every pixel,different,0.291712284,different
1541,hide unhide layer,edit small things,different,0.291639149,different
190,github crowdin integration,adding text,different,0.291633517,different
1826,reuse drawingsurface pipette activity,find a place,different,0.291576087,different
2957,image file size editing,main issue tools,different,0.291481495,different
3912,hint change default settings tools,pocket code,different,0.291407049,different
345,save dialog,applying transparency,different,0.291302145,different
81,confirm tool application selecting tool,add graph,different,0.291280627,different
3728,better compression research implementation,paste images,different,0.29127115,different
4187,confirm tool application selecting tool,resize pictures,different,0.291260391,different
884,export,color picker,different,0.291138291,different
3376,auto crop icon,multi touch interface,different,0.29111892,different
4684,hint change default settings tools,small basic animation,different,0.291099548,different
1005,share feature,copy paste,different,0.29109773,different
4754,close transform tool options clicking apply,spray tool,different,0.291050017,different
2282,github crowdin integration,image edition,different,0.29101938,different
4091,save temporary copies automatically,removes exif data,different,0.290932238,different
3275,confirm tool application selecting tool,move bits,different,0.290815532,different
179,insert image catrobat media gallery,adding text,different,0.290755033,different
2197,better compression research implementation,gradient fill,different,0.290701926,different
1201,export,curve tool,different,0.290677488,different
48,hint change default settings tools,add a blur,different,0.290644497,different
3889,better compression research implementation,pixel art,different,0.29055649,different
5374,save temporary copies automatically,zooming capabilities,different,0.290511757,different
434,image file size editing,basic animation package,different,0.290434599,different
2275,copy paste symbols stamp tool selection application,image edition,different,0.290421605,different
456,center button transform tool,basic components,different,0.290369868,different
5287,reuse drawingsurface pipette activity,white worked,different,0.290288121,different
5039,export,think concept,different,0.290247858,different
1409,spray tool,drawing tool for kids,different,0.290222615,different
3370,save load pocketpaint format,multi touch interface,different,0.290196538,different
3369,save load pocketpaint format,multi touch interface,different,0.290196538,different
1329,insert image catrobat media gallery,do some quite,different,0.290150195,different
704,image file size editing,circle tools,different,0.290094972,different
1641,dynamic color scheme,export my pictures,different,0.290051579,different
691,auto crop icon,circle tools,different,0.290042698,different
2202,github crowdin integration,gradient fill,different,0.289961398,different
4954,checkmark confirm tool applications,text insert,different,0.28991136,different
2509,save load pocketpaint format,last update perfect,different,0.289880008,different
2508,save load pocketpaint format,last update perfect,different,0.289880008,different
2252,export,image editing,different,0.289855599,different
5179,reuse drawingsurface pipette activity,ui design,different,0.289847106,different
1367,github crowdin integration,draw frames,different,0.289749503,different
3718,hide unhide layer,paste images,different,0.289700091,different
3567,checkmark confirm tool applications,original position,different,0.289644033,different
2493,better compression research implementation,large image,different,0.289606899,different
1499,confirm tool application selecting tool,dynamic brushes,different,0.289502203,different
2256,github crowdin integration,image editing,different,0.289419264,different
2242,share feature,image editing,different,0.289406061,different
1119,copy paste symbols stamp tool selection application,creating a option,different,0.289333761,different
1120,save dialog,creating a option,different,0.289256454,different
1356,insert image catrobat media gallery,draw frames,different,0.289241523,different
1060,spray tool,create graphics,different,0.289184064,different
2590,save load pocketpaint format,liked line tool,different,0.289060742,different
2589,save load pocketpaint format,liked line tool,different,0.289060742,different
4355,close transform tool options clicking apply,screen shots,different,0.288914979,different
4973,save load pocketpaint format,text outline,different,0.288844585,different
4972,save load pocketpaint format,text outline,different,0.288844585,different
429,center button transform tool,basic animation package,different,0.288842052,different
3065,image file size editing,marking options,different,0.288841903,different
2167,checkmark confirm tool applications,good work,different,0.288801908,different
2528,image file size editing,last update perfect,different,0.288770616,different
3133,auto crop icon,miss select,different,0.288741678,different
2291,paste tool,infinite painter,different,0.288543999,different
3233,paste tool,more updates,different,0.288479,different
1800,image file size editing,fills entire canvas,different,0.288340509,different
2222,copy paste symbols stamp tool selection application,ground color change,different,0.28825289,different
1673,save load pocketpaint format,fill color,different,0.288153201,different
1672,save load pocketpaint format,fill color,different,0.288153201,different
840,upload mapping jenkins release builds,color fill tool,different,0.288144439,different
4836,paste tool,take small space,different,0.288071632,different
4212,export,resize tool,different,0.288003862,different
1830,dynamic color scheme,find a place,different,0.28793931,different
3316,save load pocketpaint format,move text,different,0.287802517,different
3315,save load pocketpaint format,move text,different,0.287802517,different
4781,save temporary copies automatically,stop camera,different,0.28776741,different
759,upload mapping jenkins release builds,code games,different,0.287653357,different
4480,confirm tool application selecting tool,select transparent on colors,different,0.287647665,different
3729,export,paste images,different,0.287602901,different
1388,save dialog,draw some lines,different,0.287547648,different
1734,hint change default settings tools,fill tools,different,0.287427962,different
5002,share feature,text to pictures,different,0.287419617,different
462,upload mapping jenkins release builds,basic components,different,0.287386447,different
3449,paste tool,new update,different,0.287314564,different
682,save temporary copies automatically,circle tools,different,0.287263811,different
5131,save temporary copies automatically,type text,different,0.287196755,different
5005,insert image catrobat media gallery,text to pictures,different,0.287147105,different
2971,auto crop icon,manipulator programs,different,0.287095129,different
912,center button transform tool,colour fill option,different,0.287091315,different
2527,reuse drawingsurface pipette activity,last update perfect,different,0.286994994,different
4148,save load pocketpaint format,resize picture,different,0.286935657,different
4147,save load pocketpaint format,resize picture,different,0.286935657,different
2970,insert image catrobat media gallery,manipulator programs,different,0.286737353,different
2573,save dialog,liked line,different,0.286714524,different
961,save dialog,colour shades,different,0.286606401,different
4176,share feature,resize pictures,different,0.286580145,different
5184,close transform tool options clicking apply,unnecessary permissions,different,0.286263764,different
1342,reuse drawingsurface pipette activity,do some quite,different,0.286259055,different
1598,insert image catrobat media gallery,enter texts,different,0.286058903,different
1589,close transform tool options clicking apply,enter texts,different,0.28603521,different
2020,close transform tool options clicking apply,gauging smaller sizes,different,0.286020398,different
2352,insert image catrobat media gallery,intuitive layout,different,0.285847932,different
1529,github crowdin integration,edit photos of gacha,different,0.285757422,different
907,copy paste symbols stamp tool selection application,colour fill option,different,0.285743415,different
4357,paste tool,screen shots,different,0.285710484,different
2947,copy paste symbols stamp tool selection application,main issue tools,different,0.285616368,different
4237,save dialog,resizing entire image,different,0.285614997,different
1027,paste tool,correct point,different,0.285604864,different
1591,paste tool,enter texts,different,0.285604179,different
2196,save dialog,gradient fill,different,0.285480618,different
5224,copy paste symbols stamp tool selection application,user interface,different,0.285396636,different
587,save dialog,changed language,different,0.285391003,different
3373,feedback menu entry overflow menu,multi touch interface,different,0.285328746,different
4156,checkmark confirm tool applications,resize picture,different,0.285184145,different
1397,image file size editing,draw some lines,different,0.285091579,different
1964,correct user intended position tools,full screen,different,0.285046279,different
3008,github crowdin integration,many opportunities,different,0.285045147,different
3436,export,new image option,different,0.284952283,different
3969,save dialog,put titles,different,0.284904242,different
2024,save load pocketpaint format,gauging smaller sizes,different,0.284881413,different
2023,save load pocketpaint format,gauging smaller sizes,different,0.284881413,different
4845,hint change default settings tools,take small space,different,0.284857392,different
2365,reuse drawingsurface pipette activity,intuitive layout,different,0.284823596,different
5041,center button transform tool,think concept,different,0.28480199,different
146,paste tool,add transparency,different,0.284736156,different
995,reuse drawingsurface pipette activity,converting photos from mb,different,0.284695387,different
3426,share feature,new image option,different,0.284537047,different
3283,correct user intended position tools,move bits,different,0.284516245,different
3973,center button transform tool,put titles,different,0.284505457,different
5164,feedback menu entry overflow menu,ui design,different,0.284469485,different
317,checkmark confirm tool applications,applying a color,different,0.284434199,different
4642,image file size editing,simple area selection,different,0.284405589,different
5165,spray tool,ui design,different,0.284260035,different
5169,checkmark confirm tool applications,ui design,different,0.284258485,different
4832,correct user intended position tools,straight line,different,0.284249157,different
1593,save load pocketpaint format,enter texts,different,0.284236938,different
1592,save load pocketpaint format,enter texts,different,0.284236938,different
3967,checkmark confirm tool applications,put titles,different,0.284017146,different
2082,spray tool,go hang,different,0.284016609,different
4050,save dialog,reduces resolution,different,0.283880323,different
1920,spray tool,friendliness range,different,0.283819228,different
3527,dynamic color scheme,newest update,different,0.283800423,different
3339,close transform tool options clicking apply,ms paint,different,0.283698469,different
755,github crowdin integration,code games,different,0.283614874,different
4188,center button transform tool,resize pictures,different,0.283258259,different
3771,save load pocketpaint format,perfect substitute,different,0.283079654,different
3770,save load pocketpaint format,perfect substitute,different,0.283079654,different
2968,feedback menu entry overflow menu,manipulator programs,different,0.283025801,different
3972,confirm tool application selecting tool,put titles,different,0.282918036,different
481,export,blur tool,different,0.282899261,different
562,export,change width,different,0.282863975,different
946,correct user intended position tools,colour picker,different,0.282854915,different
1580,confirm tool application selecting tool,editing large images,different,0.28284511,different
1835,save load pocketpaint format,find only theyer,different,0.282843441,different
1834,save load pocketpaint format,find only theyer,different,0.282843441,different
2123,reuse drawingsurface pipette activity,good art,different,0.28279376,different
2266,save load pocketpaint format,image edition,different,0.282701612,different
2265,save load pocketpaint format,image edition,different,0.282701612,different
2546,save dialog,like paint,different,0.282693863,different
3751,hint change default settings tools,paths brushes,different,0.28267777,different
3700,checkmark confirm tool applications,paste a part,different,0.282602459,different
3362,image file size editing,ms paint,different,0.28254813,different
335,save load pocketpaint format,applying transparency,different,0.282438397,different
334,save load pocketpaint format,applying transparency,different,0.282438397,different
4931,export,text input option,different,0.282403439,different
5047,upload mapping jenkins release builds,think concept,different,0.282374114,different
4405,image file size editing,see a grid,different,0.282286644,different
332,save temporary copies automatically,applying transparency,different,0.282170773,different
1743,github crowdin integration,fill tools,different,0.282098651,different
5105,save temporary copies automatically,transparent color,different,0.282068998,different
2567,spray tool,liked line,different,0.281917185,different
1562,dynamic color scheme,edit small things,different,0.281760782,different
2025,hide unhide layer,gauging smaller sizes,different,0.28158465,different
4249,close transform tool options clicking apply,respect landscape orientation,different,0.281558096,different
1321,save temporary copies automatically,do some quite,different,0.28145498,different
695,save dialog,circle tools,different,0.281296372,different
977,save load pocketpaint format,converting photos from mb,different,0.281253278,different
976,save load pocketpaint format,converting photos from mb,different,0.281253278,different
1693,upload mapping jenkins release builds,fill color,different,0.28118816,different
722,save dialog,clone tool,different,0.281036377,different
3602,build paintroid pull requests catroid develop jenkins,outline an addition,different,0.280962765,different
1114,spray tool,creating a option,different,0.280955434,different
4974,hide unhide layer,text outline,different,0.280881613,different
148,save load pocketpaint format,add transparency,different,0.280876249,different
147,save load pocketpaint format,add transparency,different,0.280876249,different
4062,dynamic color scheme,reduces resolution,different,0.280836612,different
174,save load pocketpaint format,adding text,different,0.28082487,different
173,save load pocketpaint format,adding text,different,0.28082487,different
3863,better compression research implementation,pictures with transparency,different,0.280782312,different
5171,save dialog,ui design,different,0.280491829,different
1014,export,copy paste,different,0.280420184,different
760,correct user intended position tools,code games,different,0.280352592,different
2432,spray tool,landscape fact,different,0.280286133,different
1684,better compression research implementation,fill color,different,0.28028056,different
1267,save temporary copies automatically,dedicated pan,different,0.280263573,different
5045,reuse drawingsurface pipette activity,think concept,different,0.280210733,different
4423,save dialog,see every pixel,different,0.280151933,different
3293,spray tool,move image,different,0.28008914,different
4110,github crowdin integration,removes exif data,different,0.280076474,different
2574,better compression research implementation,liked line,different,0.279969066,different
3141,center button transform tool,miss select,different,0.27972123,different
3278,github crowdin integration,move bits,different,0.279671609,different
3725,checkmark confirm tool applications,paste images,different,0.27967149,different
2455,save load pocketpaint format,landscape mode,different,0.279550225,different
2454,save load pocketpaint format,landscape mode,different,0.279550225,different
1073,build paintroid pull requests catroid develop jenkins,create graphics,different,0.279456258,different
1379,hide unhide layer,draw some lines,different,0.279382348,different
2350,feedback menu entry overflow menu,intuitive layout,different,0.279381722,different
3741,save temporary copies automatically,paths brushes,different,0.279361546,different
4086,reuse drawingsurface pipette activity,reflect chosen colour,different,0.279292166,different
1033,spray tool,correct point,different,0.279143095,different
4243,github crowdin integration,resizing entire image,different,0.279127985,different
57,github crowdin integration,add a blur,different,0.278978139,different
4075,hint change default settings tools,reflect chosen colour,different,0.278758317,different
2571,checkmark confirm tool applications,liked line,different,0.278657764,different
1739,export,fill tools,different,0.278553128,different
1135,paste tool,crop edge,different,0.278407723,different
4993,upload mapping jenkins release builds,text outline,different,0.278299451,different
2273,hint change default settings tools,image edition,different,0.27829057,different
658,save load pocketpaint format,circle draw,different,0.278257728,different
657,save load pocketpaint format,circle draw,different,0.278257728,different
4940,correct user intended position tools,text input option,different,0.278204232,different
411,close transform tool options clicking apply,basic animation package,different,0.278117955,different
1948,insert image catrobat media gallery,full screen,different,0.278108954,different
775,copy paste symbols stamp tool selection application,code to games,different,0.278041869,different
90,dynamic color scheme,add graph,different,0.278034121,different
2601,better compression research implementation,liked line tool,different,0.278030872,different
2357,save dialog,intuitive layout,different,0.278005123,different
3004,export,many opportunities,different,0.277782649,different
1560,upload mapping jenkins release builds,edit small things,different,0.277778059,different
677,image file size editing,circle draw,different,0.277751535,different
3340,save temporary copies automatically,ms paint,different,0.277690709,different
2981,github crowdin integration,manipulator programs,different,0.27762416,different
2984,image file size editing,manipulator programs,different,0.277531326,different
3375,insert image catrobat media gallery,multi touch interface,different,0.277414203,different
3518,confirm tool application selecting tool,newest update,different,0.277342677,different
5357,hint change default settings tools,zoom tool,different,0.277265102,different
1822,center button transform tool,find a place,different,0.277236283,different
5170,copy paste symbols stamp tool selection application,ui design,different,0.277169943,different
1195,auto crop icon,curve tool,different,0.277109414,different
1208,image file size editing,curve tool,different,0.277037233,different
3913,checkmark confirm tool applications,pocket code,different,0.276935279,different
3289,save load pocketpaint format,move image,different,0.276790798,different
